race_id,lapno,position,driver_id,laptime,racetime,gap,interval,compound,tireage,pitintime,pitstopduration,nextcompound,startlapprog_vsc,endlapprog_vsc,age_vsc,startlapprog_sc,endlapprog_sc,age_sc,lpt_slp,dt_rank,sc_pit
1.0,1.0,17.0,22.0,130.795,130.795,28.757,5.275,A3,1.0,2014-03-16 17:09:56,17.255,,,,,,,,,5.0,False
1.0,1.0,18.0,16.0,156.707,156.707,54.669,25.912,A3,1.0,2014-03-16 17:10:14,25.541,A2,,,,,,,,7.0,False
1.0,1.0,19.0,20.0,161.894,161.894,59.856,5.187,A2,1.0,2014-03-16 17:10:12,32.657,A3,,,,,,,,6.0,False
1.0,10.0,16.0,15.0,156.286,1038.096,78.704,5.033,A3,10.0,2014-03-16 17:24:46,34.921,A3,,,,,,,-1.2122833333333345,10.0,False
1.0,11.0,9.0,10.0,117.843,1101.79,47.213,21.762,A3,13.0,2014-03-16 17:26:02,22.411,A3,,,,0.722,1.0,0.278,-0.9709030303030306,5.0,False
1.0,11.0,17.0,16.0,129.463,1162.526,107.949,1.575,A2,10.0,2014-03-16 17:27:03,22.497,A3,,,,0.278,1.0,0.722,-3.6548787878787867,6.0,False
1.0,12.0,1.0,3.0,134.269,1188.846,0.0,0.0,A3,14.0,2014-03-16 17:27:27,24.331,A3,,,,0.107,1.0,0.893,-0.4818181818181815,0.0,False
1.0,12.0,2.0,2.0,135.227,1197.523,8.677,8.677,A3,14.0,2014-03-16 17:27:37,22.994,A3,,,,0.05,1.0,0.95,-0.47791818181818235,0.0,False
1.0,12.0,3.0,4.0,136.538,1205.398,16.552,7.875,A3,14.0,2014-03-16 17:27:45,23.15,A3,,,,0.001,1.0,0.999,-0.5772636363636366,0.0,False
1.0,12.0,4.0,7.0,136.397,1211.071,22.225,5.673,A3,14.0,2014-03-16 17:27:51,22.615,A3,,,,0.0,1.0,1.059,-0.5323818181818187,-3.0,True
1.0,12.0,5.0,5.0,139.525,1215.586,26.74,4.515,A3,14.0,2014-03-16 17:27:55,22.887,A3,,,,0.0,1.0,1.072,-0.5647000000000003,0.0,False
1.0,12.0,7.0,6.0,143.494,1222.66,33.814,0.03,A3,14.0,2014-03-16 17:28:02,23.124,A3,,,,0.0,1.0,1.105,-0.7376000000000006,-2.0,True
1.0,12.0,8.0,11.0,145.964,1224.599,35.753,1.939,A3,12.0,2014-03-16 17:28:02,25.543,A3,,,,0.0,1.0,1.099,-0.6410363636363637,0.0,False
1.0,12.0,9.0,8.0,150.844,1230.872,42.026,6.273,A3,14.0,2014-03-16 17:28:03,30.514,A2,,,,0.0,1.0,1.113,-0.7697454545454548,-1.0,True
